Epoch,Training_Loss
1,0.6629914458784355
2,0.312608711292901
3,0.24516170764635056
4,0.20014773339865172
5,0.17083259781226895
6,0.15780213709523533
7,0.1490624363869807
8,0.1402722699113833
9,0.1358950368965489
10,0.13068983462180583
11,0.1279298047539849
12,0.1229725604536494
13,0.12134116220425077
14,0.11972750859703812
15,0.1150133739438305
16,0.11428876251956155
17,0.11011246416037004
18,0.10996712866253432
19,0.10772667302641319
20,0.10318921427266095
21,0.10456901727537364
22,0.10108870891995993
23,0.09963323697873254
24,0.09654850444903001
25,0.0936282626216106
26,0.09302260757797412
27,0.09181449672178871
28,0.08843845598881847
29,0.08678093692382353
30,0.08427844584782414
31,0.08347005470665314
32,0.08181045922843105
33,0.08085643295245955
34,0.07889672385003928
35,0.078795756743559
36,0.07751459924546708
37,0.07383152236027388
38,0.07436439449884716
39,0.07338474659594296
40,0.07306975839555566
Final_Top1_Accuracy,97.30%
